City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,baissa,7.2333,10.6333,22.34,98,100,0.97,NG,1686866598
82,aasiaat,68.7098,-52.8699,0.73,81,100,4.39,GL,1686866598
83,brookings,44.3114,-96.7984,31.0,33,75,2.57,US,1686866598
84,susuman,62.7833,148.1667,16.63,58,66,1.5,RU,1686866598
85,college,64.8569,-147.8028,19.99,32,75,2.06,US,1686866598
86,salatiga,-7.3319,110.4928,22.33,95,72,0.81,ID,1686866598
87,tiksi,71.6872,128.8694,4.95,80,94,2.21,RU,1686866599
88,hermanus,-34.4187,19.2345,8.78,85,9,3.55,ZA,1686866549
89,cockburn town,21.4612,-71.1419,28.34,86,89,7.43,TC,1686866599
90,punta arenas,-53.15,-70.9167,5.06,75,20,5.66,CL,1686866599
91,saint-philippe,-21.3585,55.7679,24.77,84,73,5.52,RE,1686866599
92,badger,64.8,-147.5333,19.95,32,75,2.06,US,1686866599
93,severo-yeniseyskiy,60.3725,93.0408,6.04,94,100,3.05,RU,1686866599
94,manado,1.487,124.8455,24.43,94,40,1.03,ID,1686866599
95,talnakh,69.4865,88.3972,5.67,80,100,2.78,RU,1686866557
96,labuan,5.2767,115.2417,27.72,78,100,2.76,MY,1686866600
97,bethel,41.3712,-73.414,25.86,55,0,4.63,US,1686866600
98,uturoa,-16.7333,-151.4333,27.06,83,70,10.09,PF,1686866600
99,invercargill,-46.4,168.35,4.82,76,100,1.86,NZ,1686866600
100,mont-dore,-22.2833,166.5833,22.22,99,43,2.8,NC,1686866600
101,jinka,5.65,36.65,17.61,80,99,0.69,ET,1686866600
102,dawei,14.0833,98.2,24.97,92,100,0.51,MM,1686866600
103,midvagur,62.0511,-7.1939,10.46,93,61,2.57,FO,1686866600
104,bayanhongor,46.7167,100.1167,10.48,67,94,2.1,MN,1686866601
105,lubao,14.9167,120.55,26.04,87,97,0.6,PH,1686866601
106,port lincoln,-34.7333,135.8667,12.76,49,1,9.15,AU,1686866601
107,holdrege,40.4403,-99.3698,28.95,34,0,4.12,US,1686866601
108,hawaiian paradise park,19.5933,-154.9731,27.73,80,75,4.63,US,1686866601
109,ilulissat,69.2167,-51.1,4.01,70,100,3.09,GL,1686866601
110,sao paulo de olivenca,-3.3783,-68.8725,24.69,73,79,0.67,BR,1686866601
111,yangzhou,32.3972,119.4358,24.92,79,100,3.24,CN,1686866602
112,fortuna,40.5982,-124.1573,21.31,63,20,9.26,US,1686866602
113,salinopolis,-0.6136,-47.3561,26.06,86,6,4.82,BR,1686866602
114,pisco,-13.7,-76.2167,20.03,73,0,7.2,PE,1686866602
115,la ronge,55.1001,-105.2842,20.41,40,54,7.65,CA,1686866602
116,parras de la fuente,25.4167,-102.1833,36.55,10,21,4.54,MX,1686866602
117,naze,28.3667,129.4833,22.57,85,99,2.15,JP,1686866602
118,bilohirsk,45.05,34.6,18.03,76,50,3.53,UA,1686866417
119,ar ruways,24.1103,52.7306,32.23,56,99,5.9,AE,1686866358
120,vila franca do campo,37.7167,-25.4333,19.23,92,60,3.76,PT,1686866603
121,doctor juan leon mallorquin,-25.4,-55.2667,12.85,94,100,1.09,PY,1686866603
122,ataq,14.5377,46.8319,27.74,40,62,2.51,YE,1686866603
123,fale old settlement,-9.3852,-171.2468,29.02,70,94,8.32,TK,1686866603
124,paka,4.6374,103.4368,25.34,88,81,1.17,MY,1686866603
125,codrington,-38.2667,141.9667,9.75,72,1,7.92,AU,1686866603
126,guerrero negro,27.9769,-114.0611,21.66,57,80,8.58,MX,1686866603
127,taroa,8.7058,171.2275,27.99,83,57,9.0,MH,1686866603
128,likisa,-8.6695,125.6875,16.32,83,99,2.51,TL,1686866604
129,stanley,54.868,-1.6985,14.29,83,0,0.51,GB,1686866580
130,port alfred,-33.5906,26.891,12.32,91,58,1.34,ZA,1686866604
131,georgetown,5.4112,100.3354,28.96,74,20,1.03,MY,1686866437
132,waxhaw,34.9246,-80.7434,28.94,64,95,0.45,US,1686866517
133,barranca,-10.75,-77.7667,21.16,76,55,4.3,PE,1686866604
134,grand falls-windsor,48.9332,-55.6649,15.84,64,96,0.89,CA,1686866604
135,lauro de freitas,-12.8944,-38.3272,24.77,82,2,4.47,BR,1686866509
136,bonthe,7.5264,-12.505,26.48,81,93,4.08,SL,1686866604
137,itabirito,-20.2533,-43.8014,19.2,72,100,1.26,BR,1686866605
138,the dalles,45.5946,-121.1787,27.65,40,0,7.72,US,1686866605
139,ribadesella,43.4614,-5.0596,18.3,90,29,2.95,ES,1686866605
140,rio grande,-32.035,-52.0986,15.06,73,100,6.42,BR,1686866605
141,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,48,0,2.0,RU,1686866377
142,sao domingos do maranhao,-5.5758,-44.3853,28.73,51,75,2.16,BR,1686866605
